wallet_address,realized_profit,unrealized_profit,combined_profit,realized_roi,unrealized_roi,combined_roi,winrate,tokens_traded,average_traded_time
49mPtDTXMG1EhnDyWwwmXKFhQxMsKBP6QKWmKDayyyAw,"[{'1D': 591784.1160518463}, {'7D': 2343820.163806339}, {'30D': 29850517.436473615}]","[{'1D': 98.13488406379547}, {'7D': 98.13488406379547}, {'30D': -29366.688553828724}]","[{'1D': 591882.2509359102}, {'7D': 2343918.298690403}, {'30D': 29821150.747919787}]","[{'1D': 124.13141373382844}, {'7D': 143.4869762235512}, {'30D': 470.8596897517489}]","[{'1D': 1338907.9488790368}, {'7D': 1338907.9488790368}, {'30D': 985590.4924763647}]","[{'1D': 68.92082372840977}, {'7D': 72.74963409899908}, {'30D': 439.4579476461734}]","[{'1D': 100}, {'7D': 88.88888888888889}, {'30D': 94.78260869565217}]","[{'1D': 2}, {'7D': 9}, {'30D': 115}]","[{'1D': 1.1033913548012764}, {'7D': 1.1033913548012764}, {'30D': 1.1033913548012764}]"
BpbH22iGafkuHwgxGdgQ61zToDZ1nTpuMqoPLZDwg5qM,"[{'1D': 0}, {'7D': 43.75620509130946}, {'30D': 43.75620509130946}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 43.75620509130946}, {'30D': 43.75620509130946}]","[{'1D': 0}, {'7D': 158.36611590959464}, {'30D': 158.36611590959464}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 72.83043255228742}, {'30D': 72.83043255228742}]","[{'1D': 0}, {'7D': 100}, {'30D': 100}]","[{'1D': 0}, {'7D': 1}, {'30D': 1}]","[{'1D': 0.0029797979797979795}, {'7D': 0.0029797979797979795}, {'30D': 0.0029797979797979795}]"
Hi8kdZH1JcL2U8KR6GHTuokcLXp9pThRb6i7XnMUBZ8V,"[{'1D': 376.0512783673147}, {'7D': 2204.267900670699}, {'30D': 4928.9598331787965}]","[{'1D': -91.6104}, {'7D': -91.6104}, {'30D': -91.6104}]","[{'1D': 284.44087836731467}, {'7D': 2112.657500670699}, {'30D': 4837.349433178796}]","[{'1D': 10.909490548206376}, {'7D': 13.368731639047285}, {'30D': 206.80530839610674}]","[{'1D': 100}, {'7D': 100}, {'30D': 100}]","[{'1D': 55.35655262398983}, {'7D': 85.11725389201149}, {'30D': 72.42918070105068}]","[{'1D': 50}, {'7D': 76.92307692307693}, {'30D': 66.66666666666666}]","[{'1D': 2}, {'7D': 13}, {'30D': 24}]","[{'1D': 16.920491452991453}, {'7D': 16.920491452991453}, {'30D': 16.920491452991453}]"
4tBypz9CmC9tQDzkpJMk9gxFqVMziToA3V1BwoJsHwHp,"[{'1D': 0}, {'7D': -24.733619837659642}, {'30D': 5647.205276535595}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': -24.733619837659642}, {'30D': 5647.205276535595}]","[{'1D': 0}, {'7D': -5.131159146798224}, {'30D': 296.2613637839911}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': -100}, {'30D': 196.26136378399107}]","[{'1D': 0}, {'7D': 33.33333333333333}, {'30D': 80.95238095238095}]","[{'1D': 0}, {'7D': 6}, {'30D': 21}]","[{'1D': 0.05486531986531986}, {'7D': 0.05486531986531986}, {'30D': 0.05486531986531986}]"
2byf7P52NJuJdjf9bYDkEeicc9jUpbeoY8Y3ZZPYY7aH,"[{'1D': 0}, {'7D': 10130.798761431552}, {'30D': 14355.908706693497}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 10130.798761431552}, {'30D': 14355.908706693497}]","[{'1D': 0}, {'7D': 367.7503998314367}, {'30D': 185.90910164853307}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 267.7615375997317}, {'30D': 85.91307498009526}]","[{'1D': 0}, {'7D': 65}, {'30D': 69.81132075471697}]","[{'1D': 0}, {'7D': 20}, {'30D': 53}]","[{'1D': 0.2858991228070175}, {'7D': 0.2858991228070175}, {'30D': 0.2858991228070175}]"
9oG1nXv1r2FeUU9c2fE77br4LoQD3BUKvDF6hods8WSM,"[{'1D': 0}, {'7D': 0}, {'30D': -7.703304062499997}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 0}, {'30D': -7.703304062499997}]","[{'1D': 0}, {'7D': 0}, {'30D': -37.682942106610334}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 0}, {'30D': -100}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 0}, {'30D': 1}]","[{'1D': 0.0034722222222222225}, {'7D': 0.0034722222222222225}, {'30D': 0.0034722222222222225}]"
9RV41TceTHfeWn62NfEFXANQC5WAGdmpeUcGdKRRqHoD,"[{'1D': 0}, {'7D': 8314.666235171213}, {'30D': 14925.050220410198}]","[{'1D': 0}, {'7D': 0}, {'30D': -6.045180988}]","[{'1D': 0}, {'7D': 8314.666235171213}, {'30D': 14919.005039422198}]","[{'1D': 0}, {'7D': 225.52146417080348}, {'30D': 156.64539373918709}]","[{'1D': 0}, {'7D': 0}, {'30D': 100}]","[{'1D': 0}, {'7D': 125.52981117353133}, {'30D': 56.585175273506636}]","[{'1D': 0}, {'7D': 68}, {'30D': 67.1875}]","[{'1D': 0}, {'7D': 25}, {'30D': 64}]","[{'1D': 0.3569500561167228}, {'7D': 0.3569500561167228}, {'30D': 0.3569500561167228}]"
GR82PEZoJx1pCxzJZyJjyJkcNoVXAQmeduymKsAJcJfV,"[{'1D': 0}, {'7D': 29848.63535799868}, {'30D': 33822.73353124488}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 29848.63535799868}, {'30D': 33822.73353124488}]","[{'1D': 0}, {'7D': 211.03125561048864}, {'30D': 210.86292698542027}]","[{'1D': 0}, {'7D': 0}, {'30D': 0}]","[{'1D': 0}, {'7D': 151.43556290658145}, {'30D': 148.93984065644824}]","[{'1D': 0}, {'7D': 100}, {'30D': 100}]","[{'1D': 0}, {'7D': 41}, {'30D': 47}]","[{'1D': 0.060904255319148934}, {'7D': 0.060904255319148934}, {'30D': 0.060904255319148934}]"
7jNYqWXAGuzW1n5BBLgJ2shV4rnzoiBmtxyHsf4WtLhv,"[{'1D': 0}, {'7D': 6.436211037388674}, {'30D': 2785.806072259934}]","[{'1D': 0}, {'7D': 0}, {'30D': 28.35249788396471}]","[{'1D': 0}, {'7D': 6.436211037388674}, {'30D': 2814.1585701438985}]","[{'1D': 0}, {'7D': 1.3978763563137715}, {'30D': 172.75800437949752}]","[{'1D': 0}, {'7D': 0}, {'30D': 41.380207925413806}]","[{'1D': 0}, {'7D': 98.60212364368623}, {'30D': 77.5997069746476}]","[{'1D': 0}, {'7D': 66.66666666666666}, {'30D': 73.68421052631578}]","[{'1D': 0}, {'7D': 6}, {'30D': 19}]","[{'1D': 0.0797123015873016}, {'7D': 0.0797123015873016}, {'30D': 0.0797123015873016}]"
CPS88d75AnNoN7e6bMaAeFFjAnSFcfhhTaeHFL2nigbe,"[{'1D': 18.52270120617732}, {'7D': 4414.288147666722}, {'30D': 40523.71754974102}]","[{'1D': 0}, {'7D': -3428.4244887450004}, {'30D': 12153.37562867242}]","[{'1D': 18.52270120617732}, {'7D': 985.8636589217208}, {'30D': 52677.09317841343}]","[{'1D': 20.494486651085584}, {'7D': 38.878822193934624}, {'30D': 316.41436310535624}]","[{'1D': 0}, {'7D': 100}, {'30D': 354.48864342573694}]","[{'1D': 79.50551334891442}, {'7D': 91.31701043962451}, {'30D': 311.30947285381615}]","[{'1D': 100}, {'7D': 83.33333333333334}, {'30D': 85.71428571428571}]","[{'1D': 1}, {'7D': 18}, {'30D': 21}]","[{'1D': 53.61922514619883}, {'7D': 53.61922514619883}, {'30D': 53.61922514619883}]"
